Manhattan,Creole/Cajun,09B,A
Bronx,American,02B,A
Brooklyn,Korean,09B,A
Brooklyn,Chinese,02B,A
Manhattan,Japanese,02B,B
Brooklyn,Chicken,04A,A
Staten Island,Pizza,02B,C
Manhattan,French,02B,A
Bronx,Pizza,02B,A
Queens,Japanese,06F,A
Queens,Bakery Products/Desserts,09C,A
Brooklyn,Chinese,02B,A
Manhattan,Japanese,02B,A
Manhattan,Italian,04M,A
Manhattan,Korean,02B,A
Manhattan,Italian,04L,A
Queens,Pizza,02B,C
Queens,Japanese,02B,A
Manhattan,Chinese,04M,Z
Brooklyn,Southeast Asian,09B,A
Brooklyn,Pizza,02B,A
Queens,Chinese,02B,A
Bronx,Chinese,02B,A
Brooklyn,American,04M,B
Brooklyn,Chicken,02B,A
Queens,Indian,09B,A
Queens,Chinese,09B,A
Manhattan,American,02B,A
Brooklyn,Vegan,02B,A
Queens,Latin American,06F,A
Brooklyn,Coffee/Tea,02B,A
Manhattan,English,09B,A
Manhattan,Chinese,02B,Z
Brooklyn,Caribbean,09B,A
Brooklyn,Coffee/Tea,02B,A
Bronx,American,02B,A
Bronx,Chinese,02B,A
Manhattan,Salads,02B,A
Manhattan,Pizza,04K,Z
Brooklyn,Hamburgers,04A,A
Staten Island,Chinese,04L,A
Queens,Japanese,06D,A
Manhattan,Tex-Mex,02B,A
Manhattan,Thai,02B,A
Manhattan,American,02B,A
Manhattan,Chinese,09B,A
Brooklyn,Italian,02B,N
Manhattan,Mexican,09B,A
Brooklyn,Japanese,02B,A
Bronx,Pizza,02B,A
Queens,Chinese,09B,A
Queens,Chinese,09B,A
Staten Island,Italian,04L,A
Brooklyn,Pizza,02B,A
Manhattan,American,02B,Z
Brooklyn,American,10J,A
Manhattan,Thai,04M,A
Brooklyn,American,02B,A
Queens,Coffee/Tea,08A,A
Bronx,Chicken,02B,A
Queens,Spanish,09B,A
Manhattan,Pizza,02B,A
Brooklyn,Jewish/Kosher,02B,A
Brooklyn,Pizza,02B,A
Brooklyn,Tapas,04M,A
Bronx,Mexican,06F,A
Brooklyn,Indian,02B,Z
Manhattan,Pizza,02B,A
Bronx,Mexican,04M,A
Manhattan,Chicken,02B,A
Brooklyn,Mexican,04K,Z
Manhattan,Coffee/Tea,02B,A
Manhattan,American,02G,A
Brooklyn,American,03I,Z
Bronx,American,06F,A
Manhattan,Japanese,10B,A
Queens,Chicken,06D,A
Manhattan,Japanese,10F,N
Manhattan,French,08A,A
Manhattan,Pizza,10B,A
Manhattan,Spanish,06A,A
Manhattan,Chicken,06A,A
Queens,Indian,04A,C
Brooklyn,Sandwiches/Salads/Mixed Buffet,09B,A
Queens,Latin American,04A,C
Manhattan,Coffee/Tea,28-05,A
Manhattan,Coffee/Tea,06D,A
Queens,American,02G,C
Manhattan,Greek,04N,B
Brooklyn,Donuts,10F,A
Manhattan,French,09C,A
Brooklyn,Spanish,10B,N
Brooklyn,Frozen Desserts,06E,A
Queens,Chinese,02G,A
Brooklyn,New American,08A,B
Manhattan,Japanese,10F,A
Brooklyn,Hamburgers,06D,A
Queens,Chinese,06D,A
Queens,Latin American,05D,C
Brooklyn,Chinese,04N,A
Queens,American,08A,B
Staten Island,American,10F,A
Bronx,Spanish,02G,A
Manhattan,American,10F,A
Brooklyn,Thai,10B,C
Queens,Chicken,08C,A
Brooklyn,Eastern European,10G,Z
Manhattan,Asian/Asian Fusion,10F,P
Manhattan,Japanese,04N,A
Manhattan,Frozen Desserts,06A,A
Queens,Pizza,06D,A
Queens,Juice, Smoothies, Fruit Salads,10H,A
Manhattan,Japanese,10B,N
Queens,Latin American,08A,A
Queens,Turkish,06D,A
Manhattan,Coffee/Tea,10B,A
Manhattan,French,06D,A
Queens,American,10F,A
Manhattan,Chinese,08A,N
Manhattan,American,03A,C
Brooklyn,Bakery Products/Desserts,06C,B
Brooklyn,American,06D,A
Queens,Pizza,02B,A
Brooklyn,American,08A,A
Manhattan,Sandwiches,10F,A
Manhattan,Juice, Smoothies, Fruit Salads,04N,A
Staten Island,Coffee/Tea,06F,A
Manhattan,Japanese,06E,A
Brooklyn,Pizza,10F,A
Queens,Juice, Smoothies, Fruit Salads,06E,A
Manhattan,Japanese,04L,B
Queens,Latin American,04K,C
Manhattan,Pizza,08A,B
Brooklyn,Sandwiches,10F,A
Manhattan,Chinese,02G,A
Brooklyn,Coffee/Tea,06D,A
Manhattan,Donuts,10F,A
Manhattan,Bakery Products/Desserts,28-06,A
Manhattan,Spanish,04H,A
Bronx,Sandwiches,04A,A
Manhattan,Donuts,06D,A
Brooklyn,Mexican,04A,B
Manhattan,Italian,02B,A
Queens,Japanese,06C,A
Brooklyn,American,06C,A
Manhattan,Pizza,02B,A
Manhattan,American,10F,A
Bronx,Chinese,02G,A
Brooklyn,American,10F,A
Brooklyn,Tex-Mex,10B,A
Brooklyn,French,06B,A
Bronx,Hamburgers,10F,A
Manhattan,American,08C,A
Queens,Chinese,05D,A
Brooklyn,Coffee/Tea,08C,A
Bronx,Mexican,04A,A
Brooklyn,Middle Eastern,09C,A
Brooklyn,American,06D,C
Bronx,Donuts,04H,A
Manhattan,Pizza,04A,A
Manhattan,Donuts,04N,A
Queens,Pizza,10F,A
Brooklyn,American,02G,A
Queens,Coffee/Tea,08A,B
Brooklyn,Sandwiches/Salads/Mixed Buffet,10B,A
Manhattan,Other,06C,A
Manhattan,Juice, Smoothies, Fruit Salads,04H,A
Manhattan,Coffee/Tea,10F,A
Queens,Japanese,09E,A
Manhattan,Jewish/Kosher,04L,C
Queens,Chinese,08A,A
Brooklyn,Coffee/Tea,08A,A
Manhattan,Middle Eastern,10F,N
Queens,Spanish,06F,A
Manhattan,American,10B,A
Manhattan,Pizza,10F,A
Brooklyn,Hamburgers,10H,A
Brooklyn,French,06D,A
Manhattan,American,02G,A
Queens,Coffee/Tea,02G,A
Manhattan,American,10B,A
Brooklyn,Chicken,10B,A
Bronx,Chinese,10F,A
Bronx,Latin American,10B,A
Manhattan,American,04N,A
Manhattan,Korean,10F,A
Manhattan,Coffee/Tea,10F,A
Manhattan,American,08B,A
Manhattan,Japanese,10F,A
Manhattan,American,10B,A
Staten Island,American,10F,P
Brooklyn,Middle Eastern,02B,A
Queens,American,10G,A
Queens,Pizza,02G,B
Bronx,Chinese,08A,A
Brooklyn,Jewish/Kosher,10F,A
Queens,Bakery Products/Desserts,04L,A
Brooklyn,Mexican,02G,A
Queens,Sandwiches,10B,A
Queens,Chinese,02G,A
Brooklyn,American,09C,A
Brooklyn,Bakery Products/Desserts,04N,B
Manhattan,Tex-Mex,10F,A
Brooklyn,Pizza,04L,B
Manhattan,Coffee/Tea,04J,N
Manhattan,French,10F,A
Brooklyn,Mexican,09B,A
Queens,Latin American,10D,A
Manhattan,Chinese,09C,C
Bronx,Spanish,06B,A
Manhattan,Asian/Asian Fusion,04A,A
Bronx,Bakery Products/Desserts,10B,A
Bronx,Hamburgers,04K,C
Manhattan,Indian,05H,C
Bronx,American,06D,A
Brooklyn,American,04N,A
Manhattan,Steakhouse,10F,A
Queens,Latin American,10B,A
Manhattan,American,06C,A
Queens,Chinese,08A,A
Manhattan,American,10F,A
Manhattan,Bakery Products/Desserts,04J,A
Queens,Frozen Desserts,04J,A
Brooklyn,Latin American,05D,N
Brooklyn,Caribbean,08A,A
Queens,American,10E,A
Brooklyn,Coffee/Tea,06C,A
Brooklyn,Soul Food,10G,B
Manhattan,Coffee/Tea,10F,A
Manhattan,American,10F,A
Manhattan,Pizza,02B,A
Staten Island,Donuts,06E,A
Staten Island,Chinese,02G,A
Queens,Chinese,10F,A
Brooklyn,Caribbean,06C,A
Brooklyn,Chinese,08A,B
Manhattan,Italian,04L,A
Manhattan,Japanese,02G,B
Staten Island,Chinese,10F,A
Manhattan,Seafood,10F,A
Queens,Caribbean,10B,A
Queens,Japanese,10F,A
